,City,Population,Total_Employees,Total_Officers,Total_Civilians,Total_Crime
157,Lemoore,25348,38.0,31.0,7.0,
158,Lincoln,46663,26.0,19.0,7.0,674.0
159,Lindsay,13579,19.0,14.0,5.0,
160,Livermore,88316,131.0,86.0,45.0,2346.0
161,Livingston,14007,27.0,19.0,8.0,418.0
162,Lodi,64369,102.0,71.0,31.0,
163,Lompoc,44446,61.0,42.0,19.0,
164,Long Beach,476318,1123.0,771.0,352.0,17103.0
165,Los Alamitos,11789,25.0,22.0,3.0,
166,Los Altos,30598,45.0,30.0,15.0,339.0
167,Los Angeles,3962726,12665.0,9863.0,2802.0,118659.0
168,Los Banos,37395,60.0,38.0,22.0,1488.0
169,Los Gatos,31044,58.0,39.0,19.0,732.0
170,Madera,64127,74.0,56.0,18.0,2372.0
171,Mammoth Lakes,7955,14.0,11.0,3.0,157.0
172,Manhattan Beach,36065,104.0,64.0,40.0,
173,Manteca,75019,84.0,60.0,24.0,2662.0
174,Marina,21094,35.0,29.0,6.0,594.0
175,Martinez,37923,46.0,34.0,12.0,1005.0
176,Marysville,12264,24.0,16.0,8.0,567.0
177,McFarland,13848,16.0,13.0,3.0,336.0
178,Mendota,11470,16.0,14.0,2.0,397.0
179,Menlo Park,33619,65.0,45.0,20.0,
180,Merced,82409,115.0,80.0,35.0,3523.0
181,Mill Valley,14527,27.0,21.0,6.0,225.0
182,Milpitas,75520,109.0,85.0,24.0,2043.0
183,Modesto,210794,295.0,216.0,79.0,12148.0
184,Monrovia,37618,75.0,47.0,28.0,749.0
185,Montclair,38899,68.0,47.0,21.0,1961.0
186,Montebello,64280,103.0,68.0,35.0,
187,Monterey,28491,57.0,44.0,13.0,1134.0
188,Monterey Park,61750,96.0,69.0,27.0,
189,Moraga,17284,13.0,12.0,1.0,209.0
190,Morgan Hill,43154,60.0,40.0,20.0,
191,Morro Bay,10620,19.0,17.0,2.0,322.0
192,Mountain View,80705,133.0,90.0,43.0,2194.0
193,Mount Shasta,3258,11.0,8.0,3.0,
194,Murrieta,109495,126.0,85.0,41.0,1769.0
195,Napa,80749,114.0,72.0,42.0,1710.0
196,National City,60768,112.0,81.0,31.0,1776.0
197,Nevada City,3020,11.0,9.0,2.0,
198,Newark,45258,76.0,55.0,21.0,1269.0
199,Newman,10881,14.0,11.0,3.0,163.0
200,Newport Beach,87749,217.0,139.0,78.0,2293.0
201,Novato,55782,81.0,57.0,24.0,1135.0
202,Oakdale,22137,32.0,22.0,10.0,904.0
203,Oakland,419481,1034.0,734.0,300.0,30619.0
204,Oceanside,176319,276.0,206.0,70.0,5299.0
205,Ontario,170274,321.0,234.0,87.0,5716.0
206,Orange,140572,203.0,150.0,53.0,
207,Orange Cove,9715,12.0,11.0,1.0,165.0
208,Orland,7549,13.0,13.0,0.0,
209,Oroville,16289,45.0,24.0,21.0,
210,Oxnard,207221,358.0,237.0,121.0,7616.0
211,Pacifica,39531,35.0,33.0,2.0,771.0
212,Pacific Grove,15734,24.0,14.0,10.0,295.0
213,Palm Springs,47388,117.0,81.0,36.0,3308.0
214,Palo Alto,67560,142.0,85.0,57.0,
215,Palos Verdes Estates,13739,35.0,29.0,6.0,176.0
216,Paradise,26514,31.0,19.0,12.0,
217,Parlier,15106,13.0,12.0,1.0,335.0
218,Pasadena,141815,333.0,221.0,112.0,
219,Paso Robles,31659,46.0,32.0,14.0,
220,Petaluma,60450,80.0,59.0,21.0,1582.0
221,Piedmont,11372,27.0,19.0,8.0,218.0
222,Pinole,19284,35.0,23.0,12.0,957.0
223,Pismo Beach,7998,31.0,19.0,12.0,
224,Pittsburg,69340,96.0,76.0,20.0,2641.0
225,Placentia,52753,62.0,46.0,16.0,
226,Placerville,10601,22.0,15.0,7.0,
227,Pleasant Hill,34829,55.0,40.0,15.0,1962.0
228,Pleasanton,79611,111.0,79.0,32.0,1730.0
229,Pomona,154410,253.0,154.0,99.0,
230,Porterville,55760,80.0,56.0,24.0,1570.0
231,Port Hueneme,22249,29.0,21.0,8.0,514.0
232,Red Bluff,14045,32.0,22.0,10.0,1113.0
233,Redding,92020,129.0,98.0,31.0,4783.0
234,Redlands,71078,115.0,79.0,36.0,3423.0
235,Redondo Beach,68492,139.0,85.0,54.0,1942.0
236,Redwood City,84415,113.0,88.0,25.0,2032.0
237,Reedley,25711,42.0,27.0,15.0,656.0
238,Rialto,103590,139.0,105.0,34.0,2641.0
239,Richmond,109716,265.0,177.0,88.0,
240,Ridgecrest,28989,48.0,32.0,16.0,719.0
241,Rio Dell,3378,5.0,5.0,0.0,
242,Rio Vista,8250,12.0,11.0,1.0,140.0
243,Ripon,15126,32.0,23.0,9.0,260.0
244,Riverside,323064,515.0,368.0,147.0,11972.0
245,Rocklin,61105,81.0,54.0,27.0,1267.0
246,Rohnert Park,42622,79.0,59.0,20.0,1235.0
247,Roseville,131039,187.0,128.0,59.0,3534.0
248,Ross,2500,8.0,8.0,0.0,39.0
249,Sacramento,489717,949.0,646.0,303.0,20112.0
250,Salinas,158185,175.0,122.0,53.0,5243.0
251,San Bernardino,216477,394.0,214.0,180.0,13087.0
252,San Bruno,43499,62.0,47.0,15.0,1213.0
253,Sand City,339,10.0,9.0,1.0,149.0
254,San Diego,1400467,2545.0,1887.0,658.0,34740.0
255,San Fernando,24823,32.0,28.0,4.0,
256,San Francisco,863782,2711.0,2236.0,475.0,59729.0
257,San Gabriel,40714,65.0,50.0,15.0,
258,Sanger,24933,32.0,28.0,4.0,758.0
259,San Jose,1031458,1325.0,939.0,386.0,28435.0
260,San Leandro,90438,134.0,91.0,43.0,3844.0
261,San Luis Obispo,47116,83.0,59.0,24.0,2037.0
262,San Marino,13491,29.0,25.0,4.0,
263,San Mateo,104306,143.0,109.0,34.0,2311.0
264,San Pablo,30290,65.0,48.0,17.0,1495.0
265,San Rafael,59598,86.0,63.0,23.0,2123.0
266,San Ramon,76081,81.0,65.0,16.0,922.0
267,Santa Ana,337304,527.0,302.0,225.0,
268,Santa Barbara,91877,199.0,128.0,71.0,
269,Santa Clara,123562,200.0,143.0,57.0,3735.0
270,Santa Cruz,64076,111.0,91.0,20.0,
271,Santa Maria,104355,163.0,114.0,49.0,3438.0
272,Santa Monica,93796,373.0,203.0,170.0,4279.0
273,Santa Paula,30710,36.0,28.0,8.0,
274,Santa Rosa,175738,241.0,163.0,78.0,
